ID,Name,Description,Open Timings,Location,Category,Rating,Review Count
186,Bad Axe Throwing,"Bad Axe Throwing Toronto is located in the heart of Junction area, near Runnymede & St. Clair Avenue West. We're just down the street from Walmart. We host corporate events, birthday parties, bachelor and bachelorette parties, or people looking for a fun outing with friends. It's a fun and exciting environment while learning to throw axes. Take your typical night out up a few notches by whipping perfectly sharpened axes through the air at wooden targets to challenge your precision and skill in a whole new way. You can bring your own food & drinks (this is included in your admission fee). Our Toronto facility was designed for memorable, fun-filled times because it’s where being bad is totally acceptable--and always feels good, even if your game isn’t strong. Each space includes fenced-off throwing lanes where an expert axe throwing coach will guide you on proper form and technique to really impress your friends.",Closed until further notice,Toronto,Game and Entertainment Centres,5,396
187,Saunders Country Critters Zoo,"There is always something new at the Zoo. Babies being born, new critters arriving, new facilities being built. See over 60 species of animals from around the world with new ones all the time. A is for Agouti, Z is for Zebu & all the in betweens like Kinkajou & Kangaroo.

Bring your family to come out and meet our family. Come spend a lazy day and ""Talk to the Animals"".",10:00 AM - 4:00 PM,North Grenville,Zoos,4.5,47
188,Guild Park,"A unique 88-acre (36-hectare) public park where art meets nature. Located atop the Scarborough Bluffs, Guild Park includes formal gardens, forest areas and architectural fragments preserved from notable - and now demolished - buildings. Landmarks include the Greek Theatre, created from the marble arches of the 1912 Bank of Toronto; the facade of the 1895 Temple Building, once the tallest structure in the Britsh Empire, and public artwork, including sculptures by E. B. Cox, Sorel Etrog, Emmanuel Hahn, Frances Loring and Florence Wyle. Guild Park is operated by the City of Toronto and open 24/7, year- round. Check Guild Park's website for park events and activities.",,Toronto,Parks,4,64
189,Toronto's First Post Office,"Canada's oldest surviving purpose-built post office, in the heart of Toronto's historic St. Lawrence district. Toronto's First Post Office is a museum and full-service postal outlet.",9:00 AM - 5:30 PM,Toronto,"Historic Sites, History Museums",4.5,46
190,Westminster Ponds,"At approximately 200 hectares, Westminster Ponds / Pond Mills Environmentally Significant Area (ESA) is the largest publicly-owned ESA in London. The ESA is significant for its size and for its great variety of natural habitats within the boundaries of a major urban centre. The site is also designated as a Provincially Significant Wetland.

The ESA is located south of Commissioners Road and east of Wellington Road, adjacent to the Tourist Information Centre, and extends eastward to Pond Mills Road.",,London,Bodies of Water,4.5,70
191,British Methodist Episcopal Church Salen Chapel,"Salem Chapel, located at 92 Geneva St., was built in 1855 and was an important centre of nineteenth century abolitionist and civil rights activity in Canada. Harriet Tubman, famous for her role in helping African Americans escape slavery in the United States, lived near the chapel between 1851 and 1858 and is traditionally associated with the chapel. Salem Chapel became an important community space for Black Canadians. ",,St. Catherines,"Historic Sites, Religious Sites",5,27
192,Top Shelf Distillers,"Top Shelf Distillers is an independent small-batch distillery located in beautiful Perth, Ontario. We craft Vodka, Gin, Whiskey, Dessert Liquor, Cocktail Bitters & Moonshine (under the Reunion Moonshine brand name). At our facility we offer spirit sampling and the sale of all of our products in our storefront. Open 5 days a week.",10:00 AM - 6:00 PM,Perth,Distilleries,4.5,45
193,Mission Island Marsh Conservation Area,"The shallow water and aquatic plants of Mission Island Marsh are essential for waterfowl and fish. Walk along the boardwalk for a closer look at the colourful aquatic vegetation and follow the self-guided Mission Marsh Learning Trails through the various ecosystems present in the Conservation Area, including Forest, Coastal Wetland, Lagoon and Meadow. Mission Island Marsh is a must for recreation walkers, nature enthusiasts, wildlife photographers, naturalists clubs and education groups.

The Interpretive Pavilion at Mission Marsh contains colourful displays about water, as well as the history of the area.

Mission Island Marsh Conservation Area now features an AODA-compliant, paved, wheelchair-accessible loop trail. The 580 metre trail extends from the parking lot to the pavillion, through the meadow and forest down to the lagoons where a wheelchair-accessible bench and viewing scope are located.",,Thunder Bay,"Nature and Wildlife Areas, Hiking Trails",4.5,62
194,Bay Used Books,"""Bay Used Books opened in 1975. This family-owned small business is located in downtown Sudbury at 124 Elm Street across from the Days Inn. We have a very large eclectic mix of books with over 200,000 titles in stock. We are open 7 days a week except for major holidays. ",10:00 AM - 6:00 PM,Sudbury,"Points of Interest, Landmarks",5,29
195,Sharon Temple,"Sharon Temple National Historic Site of Canada is located north of Toronto, in the village of Sharon. It is an elegant wooden building comprised of three storeys of diminishing size. All four sides of the building are filled with large windows that are candle-lit for special celebrations. The Temple sits in the centre of a large, grassed area, which also contains a collection of other buildings associated with the religious community. The designation refers to the Temple on its lot.",,Sharon,History Museums,4.5,41
196,Ridgepoint Wines,"We created Ridgepoint Wines, our estate winery, so we could share our family’s enthusiasm for good food and good wine.
Our heritage, determination, passion and perseverance have shaped our wines and culinary experiences, and they continue to guide us. You will find our wine portfolio is unusual in Niagara – with a focus on red wines as well as wines made in time-honoured Italian traditions. Why don’t you come and taste them?

To complement your tasting, we welcome you to our Dining Room where we offer casual Italian-inspired food that goes so well with our wines. As our family has done for generations, we offer a farm-to-table experience that always reflects the change in seasons.",11:00 AM - 5:00 PM,Vineland,Wineries and Vineyards,4.5,53
197,The Friendship Trail,"The Friendship Trail extends 16 kms across the Town of Fort Erie, running parallel to the north shore of Lake Erie. Beginning at the Port Colborne border in the west, this relaxing and picturesque trail takes visitors through lush farmland, quaint villages, pristine watersheds, and quiet residential areas as it leads to historic Old Fort Erie, Lake Erie and the Niagara River Recreation Trail.

Much of the trail is located upon an abandoned rail line, meaning it is relatively level and smooth - an easy ride for children and adults alike. The trail is used by walkers, hikers, cyclists and rollerbladers in the summer, and hikers and cross-country skiers in the winter. Of course, the trail is also wheelchair accessible.

Providing views of the Buffalo Skyline on the horizon, the Friendship Trail extends 17 km east across picturesque Six Mile Creek and through quiet residential streets as it leads to historic Old Fort Erie, waterfront parks along Lake Erie and the Niagara River Recreation Trail beyond. The majority of the trail is relatively level and smooth, making it easy walking and riding for children and adults alike.",,Port Colborne,Biking Trails,4.5,48
198,Sherman Falls,Fairy or Angel Falls are two romantic nicknames for this captivating waterfall that happens to lie on private property. Luckily the owners are happy to let others enjoy the magic of Sherman Falls located along a popular hike route on the Bruce Trail at the western edge of the city.,,Hamilton,Hiking Trails,4.5,40
199,Short Hills Provincial Park,"Sedimentary deposits and glacial till once filled this valley, until Twelve Mile Creek sliced through, forming the “Short Hills.” Animals living here include white-tailed deer, coyote, and meadow vole. Pawpaw and sweet chestnut trees are among the southern plants.

Park Facilities and Activities: There are trails and three parking lots but no other visitor facilities. Hiking, horseback riding, fishing and mountain biking are popular activities in the park. There are trails restricted to hiking only. Please also check out the Friends of Short Hills Park website.",,Thorold,Parks,4.5,43
200,Love Nest Studios,"An authentic County experience! Artists Tara Wilkinson and Andrew Csafordi share their art and passion for natural elements with visitors to their beautiful country farm. An artist and award-winning photographer, Tara handcrafts art nest sculptures out of fibres and mixed media. Her work is featured in private collections worldwide. Tara's unique photographs from her extensive travels will take you on a visual journey. Handcrafted nest ornaments and shadowboxes, photography books, prints, greeting cards and more are available in her enchanting gallery - a whimsical restored chicken coop. Also located on site ... visit their brand new ANDARA Gallery featuring larger works of photography and encaustic paintings ... and the BARN Gallery in the magnificent restored century-old barn - showcasing more of Andrew's encaustic (beeswax) sculptural paintings. North of County Road #1 and the Huff Estates Winery, off Highway 62. Painting workshops, gift certificates available.",11:00 AM - 5:00 PM,Bloomfield,Art Galleries,5,27
201,Toronto Dominion Gallery of Inuit Art,"The Toronto Dominion Gallery of Inuit Art, also known as the TD Gallery of Inuit Art, is a prominent gallery located in Toronto, Canada. It is known for its extensive collection of Inuit art, showcasing sculptures, prints, drawings, and other artworks created by Inuit artists from across Canada's Arctic regions. The gallery is recognized for its role in promoting and preserving the rich cultural heritage of the Inuit people, providing a platform for the public to appreciate and learn about their art and traditions. Through its exhibitions and educational programs, the TD Gallery of Inuit Art contributes to the broader understanding and appreciation of Inuit culture and artistic expression.",,Toronto,Art Galleries,4.5,27
202,Hidden Bench Vineyards & Winery,"Hidden Bench Vineyards & Winery is a renowned winery located in the Niagara region of Ontario, Canada. It is known for its commitment to sustainable and organic winemaking practices. The winery is situated in the Beamsville Bench sub-appellation, known for its unique terroir that produces high-quality grapes. Hidden Bench offers a range of wines, including Chardonnay, Pinot Noir, and Bordeaux-style blends, all crafted with a focus on expressing the distinct characteristics of the vineyard's terroir.",10:00 AM - 5:00 PM,Lincoln,Wineries and Vineyards,4,129
203,Rosetta McClain Gardens,"Rosetta McClain Gardens is a beautiful botanical garden located in Scarborough, Ontario, overlooking Lake Ontario. The gardens are named after Rosetta McClain, a prominent Toronto resident known for her philanthropy and love of gardening. The gardens feature a diverse collection of plants, including perennials, roses, and ornamental trees, arranged in carefully landscaped areas that provide stunning views of the lake. Visitors can explore walking paths, relax in tranquil settings, and enjoy the natural beauty of the gardens throughout the year.",12:00 AM - 11:59 PM,Toronto,Parks Gardens,4.5,28
204,South River Brewing Co,"South River Brewery (formerly Highlander) is located in South River, in the Almaguin Highlands just north of Muskoka - making South River Brewing Co one of the most northerly craft breweries in Ontario. A five-minute drive from the Highway 11 exit will bring you straight to our new brewery on the main street in South River.",12:00 PM - 6:00 PM,South River,Breweries,4.5,41
205,Redtail Vineyards,"We make small-lot wines with our hearts and our minds, employing traditional methods wherever possible.",11:00 AM - 6:00 PM,Consecon,Wineries and Vineyards,4.5,29
206,Ireland House Museum,"Your tour through the Museum will introduce you to the life and times of three generations of the Ireland family, which the house has been restored to reflect. Built using fieldstone covered with a limestone-based mortar, this technique of parging allowed the house to remain in excellent condition even prior to restoration. Georgian styled with a central hall and stair plan, the house is symmetrical when viewed from the south facing front entrance. An addition to the original home occurred only ten years after construction, allowing an in-door privy, a summer kitchen and a thirty-five foot well. Sitting on nearly four acres the house is accompanied by two other original constructions: the Drive shed and Potting shed.",10:00 AM - 4:00 PM,Burlington,Museum,4.5,34
207,Mississagi Provincial Park,"Located in Ontario, Mississagi Provincial Park offers a rugged landscape with pristine lakes, forests, and scenic hiking trails. It's a great destination for outdoor enthusiasts looking to explore nature and enjoy recreational activities like fishing and camping.",,Elliot Lake,State Parks,4.5,42
208,BreakOUT escapes Niagara,"We offer unique and challenging Escape Rooms in the heart of Old Downtown on Queen Street, Niagara Falls. Can you escape in 60 minutes? Assemble your team. Use logic, creativity and communication to solve the puzzles and get the final key before your time is up. Our immersive, original games are designed with all audiences in mind. We have no scares, no dark content, and are 100% family appropriate. Please book ahead on our website. All games are by appointment only. For players of all skill levels.",4:30 PM - 9:30 PM,Niagara Falls,Game and Entertainment Centres,5,674
209,Mer Bleue Bog,"Mer Bleue Bog is an important wetland in Ottawa, Ontario, known for its unique ecosystem and biodiversity. It's a popular spot for birdwatching and nature walks, offering a glimpse into a rare and protected environment.",,Ottawa,Nature and Wildlife Areas,4.5,44
210,SC Johnson Trail,"The SC Johnson Trail runs 14 kilometres (9 miles) between Paris and Brantford. It travels through farm fields, rare prairie grasslands and provides several scenic vistas overlooking the Grand River. The trail is finished with stone dust and has some steep hills. A few short sections follow municipal roadways so watch for traffic. The brochure, Explore the Hamilton-Brantford-Cambridge Trails, includes a map and descriptions of highlights along the trail. The SC Johnson Trail follows the abandoned Lake Erie and Northern Railway bed and was completed in 1998 through a generous donation by SC Johnson and Son Ltd. of Brantford to the Grand River Conservation Foundation.",,Brantford,Hiking Trails,4.5,53
211,O'Hara Mill Homestead & Conservation Area,"This conservation area in Madoc, Ontario, features a historic sawmill, homestead, and nature trails. Visitors can learn about the area's milling history and enjoy the natural beauty of the surrounding forests and streams.",10:00 AM - 4:00 PM,Madoc,"Historic Sites, Hiking Trails",5,31
212,St. Marys Quarry,"St. Marys Quarry is a former limestone quarry turned recreational area in St. Marys, Ontario. It offers swimming, scuba diving, and hiking opportunities in a picturesque setting with clear blue waters.",11:00 AM - 7:30 PM,St Marys,"
Sports Complexes",4.5,38
213,Sifton Bog,"Sifton Bog is a unique urban wilderness located in London, Ontario. It's home to rare plant species and provides a peaceful escape for nature lovers with its boardwalk trails and diverse wildlife.",,London,Nature and Wildlife Areas,4.5,48
214,RiverBrink Art Museum,"RiverBrink Art Museum, located in the historic village of Queenston, within the town of Niagara-on-the-Lake, is a public art museum open since 1983. Situated in a large country home overlooking the Niagara River, the museum features exhibitions from the renowned art collection of Samuel E. Weir, as well as outstanding artworks on loan from Canadian and international collections. The museum grounds and gardens provide a spectacular view of the Niagara River. The museum holds approximately 1,400 works in the permanent collection, including paintings, works on paper, sculpture, and decorative arts. The collection contains works from some of Canada's most significant artists: Tom Thomson, Emily Carr, the members of the Group of Seven, Cornelius Krieghoff, Paul Kane, and Marc Aurèle de Foy Suzor-Coté. The RiverBrink Reference Library contains over 4,000 books on fine and decorative arts, history and Canadiana. In addition, the collection includes 500 rare and limited edition books.",10:00 AM - 5:00 PM,Queenston,Art Museums,4.5,59
215,Bad Axe Throwing,"Bad Axe Throwing Ottawa was launched in the summer of 2015 and was featured in CBC, The Sun & the Ottawa Citizen for bringing the sport of urban axe throwing to the Capital! We're conveniently located just 2 minutes from the 417, just down the street from the Canada Science and Technology Museum. We've become the popular, go-to destination for birthday parties, corporate events, team-building activities, bachelor/ette parties & private events. Our facilities were recently upgraded and we provide the ability to book the entire venue for your group. That means your party can have their event be completely private without sharing the space with other groups - an exclusivity that you wont find anywhere else.",,Ottawa,Game and Entertainment Centres,4.5,318
216,Ardagh Bluffs," known for its scenic hiking trails and diverse ecosystems. Covering over 500 acres of protected land, Ardagh Bluffs features a mix of forests, wetlands, and meadows, providing habitat for a variety of plant and animal species. The area is popular among outdoor enthusiasts for activities such as hiking, birdwatching, and nature photography. The trails at Ardagh Bluffs offer visitors a chance to explore the natural beauty of the region and enjoy peaceful walks in a serene environment.",8:30 AM - 11:00 PM,Ottawa,Nature and Wildlife Areas,4.5,37
217,4th Line Theater,"Located in Millbrook, Ontario, 4th Line Theater is a professional theatre company known for its outdoor productions that celebrate local stories and heritage. It offers a unique theatrical experience in a scenic rural setting.",Millbrook,Millbrook,Theatres,4,59
218,BATL Axe Throwing,"At BATL Axe Throwing, we believe that sport should be inclusive, fun for everyone in the family, and above all, be a safe entertainment bullseye. With safety and teaching being the highest priority at BATL, our coaches help everyone over twelve years old remember the feeling of their first bullseye. Whether you're bringing your young family out for some in-town entertainment or putting on a stag, bachelorette, birthday, team-building, or fundraising event, we'll make sure it's memorable and safe. No matter what BATL location you visit across North America, you can expect delicious food and drinks, axe throwing lanes, expert coaching, and a fun tournament. Easy online booking in less than 3 minutes and group discounts are always available on our website.",11:00 AM - 11:00 PM,Niagara Falls,Game and Entertainment Centres,4.5,226
219,Del-Gatto Estates,"A beautiful country vineyard in Cape Vessey, just a stone's throw east of Waupoos on County Road 8. Family owned and operated, our 4th generation Italian winemaker crafts small batch premium wines from new World cool climate estate grown grapes using old World traditions. Our wines are distinctive. Reds are full bodied, flavourful and memorable. Our white and rose wines are aromatic and refreshing. Feel like you are a part of our Italian family when you sip-savour-enjoy our wines. Relax on our patio; listen to live music on weekend afternoons, and enjoy a glass of wine and sharing plate while you find your calm in vineyard views. Ci vediamo presto! [see you soon]",,Waupoos,Wineries and Vineyards,4.5,49
220,Icellars Estate Winery,"Icellars Estate Winery is a boutique winery in Niagara-on-the-Lake, Ontario, known for its premium wines crafted from estate-grown grapes. It offers tastings and tours, showcasing the beauty of the Niagara wine region.",11:00 AM - 5:00 PM,Niagara,Wineries and Vineyards,4.5,66
221,Lost Villages Museum,"This museum in Long Sault, Ontario, preserves the history of the Lost Villages, communities that were submerged during the construction of the St. Lawrence Seaway. Visitors can explore reconstructed buildings and learn about the area's heritage.",10:00 AM - 5:00 PM,Long Sault,Speciality Museums,4.5,39
222,Nelles Manor,"Nelles Manor is a historic home completed in 1798 by Colonel Robert Nelles. Originally a private residence, it was turned into a museum in 2016 and is now open to the public. Call a friend, come by for a tour, and catch a glimpse of local history in Grimsby, Ontario!",10:00 AM - 4:30 PM,Grimsby,History Museums,5,13
223,Roxy Theatres,"Roxy Theatres is a historic cinema in Uxbridge, Ontario, known for its charming atmosphere and screenings of independent and classic films. It's a beloved cultural hub in the community.",,Uxbridge,Theatres,4.5,59
224,Wine Country Cooking School,"Located in Niagara-on-the-Lake, Ontario, Wine Country Cooking School offers culinary classes focused on local ingredients and wine pairings. It's a great opportunity to learn about regional cuisine in a picturesque setting.",,Niagara,Cooking Classes,5,187
225,Sandy Beach,"Sandy Beach is a popular recreational area in Cobourg, Ontario, known for its sandy shores and scenic views of Lake Ontario. It's a great spot for swimming, picnicking, and enjoying the outdoors.",,Wawa,Beaches,4.5,31
226,Northern Exotics,"Northern Exotics is a reptile zoo and conservation center in Sault Ste. Marie, Ontario, showcasing a variety of reptiles, amphibians, and other exotic animals. It offers educational programs and interactive experiences for visitors.",,Sudbury,Zoos,4.5,26
227,Museum of Health Care,"The story of Canadian health and medicine tells how people have preserved health and managed disease, pain, and suffering. The Museum of Health Care at Kingston strives to connect visitors with the experience of people in past times and provide context and perspective on today's health issues",,Kingston,"Speciality Museums, History Museums",4.5,35
228,Studio Vine Glass,"Studio Vine Glass is owned and operated by Glassblower Steven Woodruff, a dedicated glass artist. He caters to the blossoming food and wine/beer/spirits industry here in Niagara Falls and creates a range of functional glass for your home and bar. Come watch live demonstrations or sign up for a workshop (please email for scheduling) and go home with a genuine, 100% Canadian-made souvenir.",10:00 AM - 6:00 PM,Niagara Falls,"Speciality and Gift Shops, Art Galleries",5,49
229,Annandale National Historic Site,"Annandale National Historic Site is a historic home in Tillsonburg, Ontario, once owned by the Annandale family. It offers guided tours and exhibits that highlight the area's history and architecture.",9:00 AM - 4:00 PM,Tillsonburg,Historic Sites,4.5,42
230,Minden Wild Water Preserve,"Minden Wild Water Preserve is a whitewater kayaking and canoeing destination in Minden, Ontario, known for its challenging rapids and scenic river views. It's a popular spot for outdoor enthusiasts and competitive paddlers.",,Minden,Nature and Wildlife Areas,4.5,37
231,Beechwood Cemetery,"Beechwood Cemetery is a historic cemetery in Ottawa, Ontario, known for its beautiful grounds and the final resting place of many notable Canadians. It's also a designated National Historic Site.",,Ottawa,"Points of Interest, Landmarks, Cemeteries",4.5,40
232,Almonte Riverwalk,"Almonte Riverwalk is a scenic trail along the Mississippi River in Almonte, Ontario. It offers picturesque views, historical landmarks, and a peaceful environment for walking and cycling.",,Almonte,Scenic Walking Areas,4.5,37
233,The Little Pie Shack,"The Little Pie Shack is a charming bakery in Penetanguishene, Ontario, known for its delicious homemade pies and baked goods. It's a popular stop for locals and visitors alike.",,Fenelon Falls,Desserts,4.5,28
234,Left Field Brewery,"Brewery, Tap Room and Bottle Shop in the East Toronto Leslieville neighbourhood brewing a lineup of baseball-inspired craft beers. Family and dog-friendly atmosphere. Tours on Saturdays and Sundays at 2pm.",11:00 AM - 9:00 PM,Toronto,Breweries,4.5,52
235,McLaughlin Bay Wildlife Reserve,"McLaughlin Bay Wildlife Reserve is a protected area in Oshawa, Ontario, known for its diverse habitats and birdwatching opportunities. It's a great place for nature walks and wildlife observation.",,Oshawa,Nature and Wildlife Areas,4.5,24
236,Freelton Antique Mall,"Over 250 quality antique dealers offering one of a kind antiques and collectibles. Variety of items from original art, coins, silver, jewellery, china, vintage signs, maps, kitchen ware, vintage Christmas decor, crockery, primitives, bottles, vintage toys, games, electronics, vinyl albums, sports memorabilia, military, books, depression ware, cameras, vintage clothing, and furniture.",10:00 AM - 5:00 PM,Hamilton,Antique Shops,4,32
237,Leaning Post Wines,"Leaning Post Wines is a boutique winery in Beamsville, Ontario, known for its small-batch, handcrafted wines. It offers tastings and events that showcase the unique terroir of the Niagara wine region.",10:00 AM - 5:00 PM,Stoney Creek,Wineries and Vineyards,4.5,28
238,Eugenia Falls Conservation Area,"Eugenia Falls Conservation Area is located near Flesherton, Ontario, and is known for its stunning waterfall, hiking trails, and scenic views of the Beaver Valley. It's a popular destination for outdoor enthusiasts and nature lovers.",,Euginia,"Nature and Wildlife Areas, Waterfalls",4,78
239,Edward Stone's Mind Trix,"Blends amazing magic with psychological illusions. Created with an adult audience in mind, MindTrix will have you asking yourself how that happened for a long time to come. Audience members are invited to assist Edward in a 75 minute journey into amazement.",,Niagara,Theatre and Performances,5,228
240,The Old Third Vineyard,"The Old Third Vineyard is a small, family-owned winery in Prince Edward County, Ontario, known for its premium Pinot Noir and sparkling wines. It offers tastings and tours in a picturesque rural setting.",12:00 PM - 5:00 PM,Hillier,Wineries and Vineyards,4.5,34
241,Aubrey Falls Provincial Park,"Aubrey Falls Provincial Park is a remote wilderness park in Algoma District, Ontario, known for its beautiful waterfall and rugged natural beauty. It's a great spot for camping, hiking, and fishing.",,Thessalon,"Nature and Wildlife Areas, Parks",4.5,22
242,Spirit Tree Estate Cidery,"Sweet apple cider and award-winning hard cider. Wood-fired stone oven bakery producing artisan breads, pies and pastries. Ontario cheeses, produce & preserves. Ciderhouse Bistro, tasting room & patio. A food-lover's destination!",10:00 AM - 8:00 PM,Caledon,Wineries and Vineyards,4,81
243,Kawartha Highlands Provincial Park,"Kawartha Highlands Provincial Park is a wilderness park in Ontario's Kawartha Lakes region, known for its pristine lakes, forests, and backcountry camping opportunities. It's a popular destination for outdoor adventures.",,Apsley,Parks,4,32
244,Murder Mystery Ottawa,"A Murderously fun experience! Join us on select Saturday nights upstairs in our showroom at The Prescott, 379 Preston Street in Little Italy. We'll have you dancing, laughing and cheering but beware - there's a killer at large and a body is bound to drop before long! Our killer comedies are unforgettable fun. This is POPCORN THEATRE -No rubber chicken here! Complimentary popcorn is the only food served during the show so arrive early and grab dinner before the show at the Prescott. Show starts at 8pm and runs until just about 10pm which leaves you time to enjoy the surrounding nightlife. Our hilarious whodunnits are rated PG, gun play but no bad language.",,Ottawa,Theatre and Performances,5,373
245,Agawa Rock Pictographs,"The Agawa Rock Pictographs are ancient Indigenous rock paintings located in Lake Superior Provincial Park, Ontario. They depict images of animals, humans, and spiritual figures, providing a glimpse into Indigenous history and culture.",,Wawa,"Historic Sites, Lookouts",4.5,32
246,Gallucci Winery,"Gallucci Winery is a family-owned winery in Stouffville, Ontario, known for its Italian-inspired wines crafted from locally grown grapes. It offers tastings and events that celebrate wine and food culture.",,Whitchurch-Stouffville,Wineries and Vineyards,4,65
247,Stanners Vineyard,"We are a small family-run vineyard dedicated to making great wines in the idyllic setting of Hillier, in Prince Edward County. Our winemaker, Colin Stanners, is producing polished, complex, award winning wines, allowing the vintage and terroir to speak clearly and with purity. Our vineyard is managed using sustainable farming practices and our wine is produced in an energy efficient straw bale building. We lovingly produce around 2000 cases per year so you will find our wine distributed in a few select LCBO locations. Check for us at your favourite restaurants and farmer's markets or come and visit us at our straw-bale winery and share in our enjoyment of wine!",11:00 AM - 6:00 PM,Hillier,Wineries and Vineyards,4.5,30
248,Five Rows Craft Wine of Lowrey Vineyards,"Five Rows Craft Wine is a small, family-owned winery in St. Davids, Ontario, known for its handcrafted wines made from locally grown grapes. It offers a unique and personalized wine tasting experience in a picturesque vineyard setting.",,Niagara,Wineries and Vineyards,5,24
249,Currie's Music and Antiques,"a charming shop in Gravenhurst, Ontario, known for its collection of vintage musical instruments and antiques. It's a great place to explore and discover unique treasures.",,Gravenhurst,Antique Shops,5,15
250,Bell City Brewery,"known for its innovative and flavorful beers. It offers brewery tours and tastings, allowing visitors to learn about the brewing process and sample a variety of beers.",,Brantford,Breweries,4.5,28
251,Hatch Gallery,"The Hatch Gallery is contemporary art gallery serving as a site for exhibitions working with both established and emerging Canadian artists. The gallery represents and promotes abstract artists working primarily in painting and sculpture. Our gallery is now closed for the 2018 summer season,  you can visit us anytime during the off season by booking an appointment. Call 416-522-0685 during regular business hours if you wish to pay us a visit.",,Bloomfield,Art Galleries,5,16
252,Kay Gardner Beltline Trail,"a scenic walking and cycling trail in Toronto, Ontario, built on a former railway line. It offers a peaceful escape from the city, with green spaces, parks, and art installations along the route.",,Toronto,Hiking Trails,4.5,20
253,McGowan Falls,"known for its natural beauty and tranquil surroundings. It's a popular spot for picnics, photography, and enjoying the outdoors.",,Durham,Waterfalls,4.5,31
254,Antiques On Highway 48,"Antiques On Hwy 48 has a wide variety of antiques, vintage finds and collectibles. Over 3.500 sq feet on two floors to explore! Pieces are reasonably priced and inventory is constantly changing. New items arrive often. Antiques, collectibles, furniture, vintage jewelry, vinyl, advertising memorabilia, primitives, lace & linens, cameras, radios, coin and paper money, vintage housewares, paintings, gold and silver, gas and oil advertising, pottery, ephemera, oddities, salvage, one of a kinds and a lot more really cool stuff!",10:00 AM - 5:00 PM,Georgina,Antique Shops,4.5,17
255,Niagara Riding Stables,"Niagara trail riding at it's best! Public trail riding along the Niagara escarpment in the heart of wine country. Niagara's longest running trail riding establishment, since 1961. No experience necessary, horses for all levels, minimum age 10 yrs. 15 minutes from both Old Town Niagara On The Lake and Niagara Falls. Open all season, reservations recommended.",,Niagara-on-the-lake,Horseback Riding Tours,4.5,202
256,Nicholyn Farms,"offering a variety of fresh produce, meats, and other locally sourced products. It's a great place to shop for local ingredients and enjoy farm-to-table experiences.",,Apto,Farms,4.5,35
257,The Landon Bay Centre,"an outdoor education and retreat centre located in Gananoque, Ontario, offering programs and activities focused on environmental education and outdoor recreation.",,Lansdowne,Hiking Trails,4.5,24
258,Weavers Creek Falls,"a scenic waterfall located in Owen Sound, Ontario, known for its natural beauty and hiking trails. It's a popular destination for outdoor enthusiasts and nature lovers.",,Owen Sound,Waterfalls,4,38
259,Board's Honey Farm," a family-owned apiary in Havelock, Ontario, known for its high-quality honey products. It offers honey tastings, beekeeping demonstrations, and educational tours.",,Restoule,Farms,5,16
260,Farmtown Park,"an agricultural heritage museum in Stirling, Ontario, showcasing the history of farming and rural life in the region. It features historic buildings, farm equipment, and exhibits that provide insight into early agricultural practices.",,Stirling,Speciality Museums,4.5,21
261,Ryerson Image Centre,"a photography museum and research centre in Toronto, Ontario, affiliated with Ryerson University. It houses a vast collection of photographic works and hosts exhibitions and educational programs.",11:00 AM - 6:00 PM,Toronto,Art Galleries,4.5,13
262,Dawson Trail Craft Brewery," a microbrewery in Thunder Bay, Ontario, known for its handcrafted beers made with locally sourced ingredients. It offers a cozy taproom where visitors can sample a variety of beers.",,Thunder Bay,Breweries,4.5,15
263,Heritage Estate Winery & Cidery,"Heritage Estate Winery & Cidery offers delicious cider and wine products, made locally in Barrie, Ontario. We offer tastings and tours to the public and encourage guests to stop by for a beverage 'By The Glass' in our Cider Garden. With over 20 acres of grapevines and orchards, there is plenty of beauty to discover here at Heritage Estate.",12:00 PM - 6:00 PM,Barrie,Wineries and Vineyards,4.5,16
264,Kirkfield Lift Lock,"a historic engineering marvel located in Kawartha Lakes, Ontario, part of the Trent-Severn Waterway. It's the second highest hydraulic lift lock in the world and offers panoramic views of the surrounding area.",,Kirkfield,"Points of Interest, Landmarks, Churches and Cathedrals",4,34
265,Woodside National Historic Site,"the childhood home of William Lyon Mackenzie King, Canada's longest-serving Prime Minister, located in Kitchener, Ontario. It offers guided tours and exhibits that explore King's life and legacy.",10:00 AM - 4:00 PM,Kitchener,Historic Sites,4,33
266,Rush Hour Escapes,"Escape Rooms are the hottest new entertainment concept all over the world right now. Come play a challenging real life adventure game with one goal: Escape the room in 60 minutes. Players, in groups of 2-8, must work together to find clues, crack codes and solve puzzles to escape the room before time runs out. RHE has 2 exciting rooms to give you the RUSH you're looking for!",,Cornwall,Escape Games,5,100
267,Massey Area Museum,"The purpose of the Massey Area Museum is to collect, preserve, research, and exhibit these objects which will serve to illustrate the settlement and development of the Township of Sables-Spanish Rivers and Sagamok Anishnawbek, up to 1968, the year the museum was founded. We recognize that understanding our local heritage is necessary to gain a better appreciation of community, province, and nation. The Museum collects artifacts and documents that depict the area’s past in terms of the earliest native settlement, early exploration, and first white settlement, the part played by natural resources in our community (lumber, minerals, waterways), agriculture, education, religion, cultural achievement, manufacturing, trade and transportation, business and municipal political development. The Museum provides for the preservation of such material as well as it possibly can, and for its availability to all who wish to see it. ​",11:00 AM - 4:00 PM,Massey,History Museums,4.5,16
